,id,Name,position,team,season,injury,days_of_injury,start_date,end_date,season,injury,days_of_injury,start_date,end_date,season,injury,days_of_injury,start_date,end_date,season,injury,days_of_injury,start_date,end_date,season,injury,days_of_injury,start_date,end_date,season,injury,days_of_injury,start_date,end_date,season,injury,days_of_injury,start_date,end_date,season,injury,days_of_injury,start_date,end_date,season,injury,days_of_injury,start_date,end_date,season,injury,days_of_injury,start_date,end_date,season,injury,days_of_injury,start_date,end_date,season,injury,days_of_injury,start_date,end_date,season,injury,days_of_injury,start_date,end_date,season,injury,days_of_injury,start_date,end_date,season,injury,days_of_injury,start_date,end_date
0,406560,Alisson,Goalkeeper,fc-liverpool,20/21,Knock,6,"Nov 15, 2020","Nov 21, 2020",19/20,Ankle Injury,45,"Nov 20, 2019","Jan 4, 2020",17/18,Ankle Surgery,440,"Jan 12, 2018","Mar 28, 2019",17/18,Fractured Foot,28,"Jul 5, 2017","Aug 2, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,361260,Caoimhin Kelleher,Goalkeeper,fc-liverpool,21/22,Influenza,3,"Nov 6, 2021",-,20/21,Muscle Injury,24,"May 4, 2021","May 28, 2021",20/21,Hip Injury,2,"Mar 6, 2021","Mar 8, 2021",20/21,groin strain,4,"Dec 1, 2020","Dec 5, 2020",19/20,Vertebra injury,83,"Mar 1, 2020","May 23, 2020",19/20,Knock,6,"Feb 9, 2020","Feb 15, 2020",19/20,Ill,2,"Jan 28, 2020","Jan 30, 2020",19/20,Back trouble,1,"Jan 23, 2020","Jan 24, 2020",19/20,Foot Injury,54,"Jul 3, 2019","Aug 26, 2019",18/19,Nasal Bone Fracture,15,"May 28, 2019","Jun 12, 2019",18/19,Unknown Injury,11,"Nov 10, 2018","Nov 21, 2018",,,,,,,,,,,,,,,,,,,,
2,236510,Adri??n,Goalkeeper,fc-liverpool,18/19,Knock,18,"Feb 4, 2019","Feb 22, 2019",18/19,Knee Injury,7,"Dec 3, 2018","Dec 10, 2018",17/18,Unknown Injury,23,"Jan 18, 2018","Feb 10, 2018",17/18,Shoulder Injury,50,"Sep 29, 2017","Nov 18, 2017",16/17,Back trouble,87,"Aug 5, 2016","Oct 31, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,148368,Vitezslav Jaros,Goalkeeper,fc-liverpool,19/20,Ankle Injury,12,"Sep 15, 2019","Sep 27, 2019",18/19,Ill,5,"Nov 26, 2018","Dec 1, 2018",17/18,Minor Knock,4,"May 17, 2018","May 21, 2018",17/18,Calf Problems,3,"Mar 12, 2018","Mar 15, 2018",17/18,Influenza,7,"Jan 25, 2018","Feb 1, 2018",17/18,Muscular problems,11,"Jul 27, 2017","Aug 7, 2017",16/17,Calf Injury,14,"May 22, 2017","Jun 5, 2017",15/16,Ankle Injury,25,"Apr 21, 2016","May 16, 2016",15/16,Thigh Problems,11,"Mar 24, 2016","Apr 4, 2016",15/16,Knee Surgery,28,"Jan 7, 2016","Feb 4, 2016",15/16,Torn Muscle Fibre,24,"Dec 28, 2015","Jan 21, 2016",,,,,,,,,,,,,,,,,,,,
4,503680,Liam Hughes,Goalkeeper,fc-liverpool,20/21,Ankle Injury,2,"Nov 19, 2020","Nov 21, 2020",20/21,Ill,2,"Nov 7, 2020","Nov 9, 2020",20/21,Quarantine,8,"Sep 12, 2020","Sep 20, 2020",20/21,Ill,2,"Jul 21, 2020","Jul 23, 2020",19/20,Fitness,5,"Feb 24, 2020","Feb 29, 2020",19/20,Ill,3,"Jan 29, 2020","Feb 1, 2020",19/20,Fitness,2,"Jan 18, 2020","Jan 20, 2020",18/19,Hip problems,16,"Jan 11, 2019","Jan 27, 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,143424,Jakub Ojrzynski,Goalkeeper,fc-liverpool,20/21,Knee Injury,113,"Aug 21, 2020","Dec 12, 2020",19/20,Knock,9,"Jun 11, 2020","Jun 20, 2020",19/20,Ankle Injury,12,"Dec 23, 2019","Jan 4, 2020",19/20,Head Injury,4,"Oct 3, 2019","Oct 7, 2019",18/19,Knock,5,"May 6, 2019","May 11, 2019",18/19,Hamstring Injury,34,"Mar 9, 2019","Apr 12, 2019",17/18,Cruciate Ligament Rupture,316,"Apr 25, 2018","Mar 7, 2019",16/17,Hamstring Injury,17,"May 10, 2017","May 27, 2017",15/16,Medial Collateral Ligament Injury,63,"May 5, 2016","Jul 7, 2016",15/16,Knee Injury,66,"Feb 22, 2016","Apr 28, 2016",15/16,Thigh muscle rupture,24,"Oct 26, 2015","Nov 19, 2015",14/15,Torn Muscle Fibre,46,"Apr 6, 2015","May 22, 2015",14/15,Hamstring Injury,31,"Mar 9, 2015","Apr 9, 2015",14/15,groin strain,35,"Jan 19, 2015","Feb 23, 2015",13/14,Knee Injury,39,"Jun 5, 2014","Jul 14, 2014"
6,433188,Harvey Davies,Goalkeeper,fc-liverpool,19/20,Ill,2,"Jun 20, 2020","Jun 22, 2020",19/20,Ill,2,"Mar 6, 2020","Mar 8, 2020",19/20,Ill,2,"Feb 23, 2020","Feb 25, 2020",19/20,Ill,2,"Feb 14, 2020","Feb 16, 2020",19/20,Ill,2,"Jan 31, 2020","Feb 2, 2020",19/20,Ill,2,"Jan 10, 2020","Jan 12, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,340918,Virgil van Dijk,Centre-Back,fc-liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,257097,Joe Gomez,Centre-Back,fc-liverpool,20/21,Hamstring Injury,33,"Oct 20, 2020","Nov 22, 2020",19/20,Hamstring Injury,31,"Jul 12, 2020","Aug 12, 2020",19/20,Hamstring Injury,30,"Nov 24, 2019","Dec 24, 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,234803,Ozan Kabak,Centre-Back,fc-liverpool,20/21,Hip Injury,4,"Nov 14, 2020","Nov 18, 2020",19/20,Ankle Injury,11,"Nov 11, 2019","Nov 22, 2019",18/19,Thigh muscle rupture,12,"Jun 12, 2019","Jun 24, 2019",18/19,Fibula shaft fractures,3,"May 8, 2019","May 11, 2019",18/19,Arm Injury,1,"Feb 25, 2019","Feb 26, 2019",18/19,Knock,4,"Dec 3, 2018","Dec 7, 2018",17/18,Knock,2,"Mar 28, 2018","Mar 30, 2018",16/17,Calf Strain,42,"Oct 15, 2016","Nov 26, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,165793,Joel Matip,Centre-Back,fc-liverpool,21/22,Thigh Problems,9,"Sep 4, 2021","Sep 13, 2021",19/20,Thigh Problems,18,"Dec 13, 2019","Dec 31, 2019",17/18,Intraarticular ligament fissure,43,"Aug 20, 2017","Oct 2, 2017",14/15,Tear in the abductor muscle,7,"Feb 16, 2015","Feb 23, 2015",13-12,Medial Collateral Ligament Knee Injury,37,"Aug 18, 2013","Sep 24, 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,86792,Nathaniel Phillips,Centre-Back,fc-liverpool,20/21,Muscle Injury,40,"Nov 16, 2020","Dec 26, 2020",19/20,Calf Injury,174,"Jan 12, 2020","Jul 4, 2020",19/20,Thigh Muscle Strain,13,"Dec 28, 2019","Jan 10, 2020",19/20,Calf Injury,64,"Sep 23, 2019","Nov 26, 2019",18/19,Calf Injury,54,"Jun 10, 2019","Aug 3, 2019",18/19,Pubitis,13,"Mar 18, 2019","Mar 31, 2019",17/18,Muscular problems,11,"Mar 18, 2018","Mar 29, 2018",16/17,Muscle Injury,15,"Nov 3, 2016","Nov 18, 2016",16/17,Calf Injury,38,"Aug 17, 2016","Sep 24, 2016",15/16,Hamstring Injury,26,"Mar 13, 2016","Apr 8, 2016",15/16,Muscle Injury,4,"Oct 8, 2015","Oct 12, 2015",14/15,Muscle Injury,2,"Mar 16, 2015","Mar 18, 2015",14/15,Adductor problems,6,"Dec 9, 2014","Dec 15, 2014",13/14,Torn muscle bundle,40,"Apr 5, 2014","May 15, 2014",13/14,Torn muscle bundle,18,"Feb 15, 2014","Mar 5, 2014"
