,Name,Team,Age,Height,Weight,DateofBirth
0,Giovanni Di Lorenzo,Napoli,28,184cm,80kg,"August 4, 1993"
1,Mário Rui,Napoli,30,170cm,67kg,"May 27, 1991"
2,Fabián Ruiz Peña,Napoli,25,189cm,70kg,"April 3, 1996"
3,Kalidou Koulibaly,Napoli,30,195cm,89kg,"June 20, 1991"
4,Lorenzo Insigne,Napoli,30,163cm,59kg,"June 4, 1991"
5,David Ospina,Napoli,33,183cm,76kg,"August 31, 1988"
6,Andre-Frank Zambo Anguissa,Napoli,25,184cm,79kg,"November 16, 1995"
7,Victor Osimhen,Napoli,22,185cm,76kg,"December 29, 1998"
8,Amir Rrahmani,Napoli,27,190cm,75kg,"February 24, 1994"
9,Matteo Politano,Napoli,28,170cm,65kg,"August 3, 1993"
10,Piotr Zieliński,Napoli,27,180cm,75kg,"May 20, 1994"
11,Hirving Lozano,Napoli,26,177cm,70kg,"July 30, 1995"
12,Elif Elmas,Napoli,22,182cm,68kg,"September 24, 1999"
13,Kostas Manolas,Napoli,30,186cm,83kg,"June 14, 1991"
14,Stanislav Lobotka,Napoli,26,170cm,72kg,"November 25, 1994"
15,Alex Meret,Napoli,24,185cm,77kg,"March 22, 1997"
16,Dries Mertens,Napoli,34,169cm,61kg,"May 6, 1987"
17,Juan Jesus,Napoli,30,185cm,84kg,"June 10, 1991"
18,Adam Ounas,Napoli,25,172cm,65kg,"November 11, 1996"
19,Andrea Petagna,Napoli,26,188cm,85kg,"June 30, 1995"
20,Diego Demme,Napoli,29,170cm,66kg,"November 21, 1991"
21,Gianluca Gaetano,Napoli,21,,,"May 5, 2000"
22,Alessandro Zanoli,Napoli,21,,,"October 3, 2000"
23,Faouzi Ghoulam,Napoli,30,188cm,80kg,"February 1, 1991"
24,Kévin Malcuit,Napoli,30,178cm,77kg,"July 31, 1991"
25,Hubert Idasiak,Napoli,19,185cm,74kg,"February 3, 2002"
26,Davide Marfella,Napoli,22,,,"September 15, 1999"
27,Luca Palmiero,Napoli,25,,,"May 1, 1996"
28,Fikayo Tomori,Milan,23,185cm,75kg,"December 19, 1997"
29,Rafael Leão,Milan,22,189cm,79kg,"June 10, 1999"
30,Sandro Tonali,Milan,21,181cm,78kg,"May 8, 2000"
31,Davide Calabria,Milan,24,176cm,70kg,"December 6, 1996"
32,Alexis Saelemaekers,Milan,22,180cm,72kg,"June 27, 1999"
33,Franck Kessié,Milan,24,183cm,76kg,"December 19, 1996"
34,Theo Hernández,Milan,24,184cm,78kg,"October 6, 1997"
35,Mike Maignan,Milan,26,187cm,80kg,"July 3, 1995"
36,Simon Kjær,Milan,32,190cm,86kg,"March 26, 1989"
37,Brahim Díaz,Milan,22,170cm,70kg,"August 3, 1999"
38,Alessio Romagnoli,Milan,26,188cm,78kg,"January 12, 1995"
39,Rade Krunić,Milan,28,184cm,74kg,"October 7, 1993"
40,Ante Rebić,Milan,28,185cm,77kg,"September 21, 1993"
41,Olivier Giroud,Milan,35,192cm,88kg,"September 30, 1986"
42,Ciprian Tătărușanu,Milan,35,198cm,90kg,"February 9, 1986"
43,Ismaël Bennacer,Milan,23,175cm,70kg,"December 1, 1997"
44,Fodé Ballo-Touré,Milan,24,182cm,70kg,"January 3, 1997"
45,Pierre Kalulu,Milan,21,179cm,69kg,"June 5, 2000"
46,Zlatan Ibrahimović,Milan,40,195cm,95kg,"October 3, 1981"
47,Alessandro Florenzi,Milan,30,172cm,67kg,"March 11, 1991"
48,Daniel Maldini,Milan,20,186cm,77kg,"October 11, 2001"
49,Samu Castillejo,Milan,26,179cm,61kg,"January 18, 1995"
50,Matteo Gabbia,Milan,22,185cm,81kg,"October 21, 1999"
51,Tiemoué Bakayoko,Milan,27,185cm,72kg,"August 17, 1994"
52,Pietro Pellegri,Milan,20,196cm,78kg,"March 17, 2001"
53,Junior Messias,Milan,30,174cm,67kg,"May 13, 1991"
54,Andrea Conti,Milan,27,184cm,66kg,"March 2, 1994"
55,Andreas Jungdal,Milan,19,195cm,82kg,"February 22, 2002"
56,Antonio Mirante,Milan,38,194cm,78kg,"July 8, 1983"
57,Alessandro Plizzari,Milan,21,187cm,80kg,"March 12, 2000"
58,Tommaso Pobega,Milan,22,188cm,78kg,"July 15, 1999"
59,Kylian Mbappé,Paris S-G,22,178cm,73kg,"December 20, 1998"
60,Presnel Kimpembe,Paris S-G,26,183cm,77kg,"August 13, 1995"
61,Achraf Hakimi,Paris S-G,23,177cm,68kg,"November 4, 1998"
62,Marquinhos,Paris S-G,27,183cm,75kg,"May 14, 1994"
63,Ander Herrera,Paris S-G,32,181cm,73kg,"August 14, 1989"
64,Thilo Kehrer,Paris S-G,25,186cm,72kg,"September 21, 1996"
65,Keylor Navas,Paris S-G,34,183cm,78kg,"December 15, 1986"
66,Neymar,Paris S-G,29,174cm,68kg,"February 5, 1992"
67,Idrissa Gana Gueye,Paris S-G,32,174cm,64kg,"September 26, 1989"
68,Georginio Wijnaldum,Paris S-G,31,175cm,69kg,"November 11, 1990"
69,Abdou Diallo,Paris S-G,25,183cm,72kg,"May 4, 1996"
70,Danilo Pereira,Paris S-G,30,188cm,66kg,"September 9, 1991"
71,Ángel Di María,Paris S-G,33,180cm,70kg,"February 14, 1988"
72,Mauro Icardi,Paris S-G,28,181cm,75kg,"February 19, 1993"
73,Gianluigi Donnarumma,Paris S-G,22,196cm,90kg,"February 25, 1999"
74,Marco Verratti,Paris S-G,29,165cm,60kg,"November 5, 1992"
75,Nuno Mendes,Paris S-G,19,184cm,74kg,"June 19, 2002"
76,Julian Draxler,Paris S-G,28,187cm,75kg,"September 20, 1993"
77,Lionel Messi,Paris S-G,34,170cm,72kg,"June 24, 1987"
78,Rafinha,Paris S-G,28,174cm,71kg,"February 12, 1993"
79,Junior Dina Ebimbe,Paris S-G,20,182cm,76kg,"November 21, 2000"
80,Juan Bernat,Paris S-G,28,170cm,67kg,"March 1, 1993"
81,Leandro Paredes,Paris S-G,27,182cm,75kg,"June 29, 1994"
82,Colin Dagba,Paris S-G,23,170cm,62kg,"September 9, 1998"
83,Pablo Sarabia,Paris S-G,29,176cm,70kg,"May 11, 1992"
84,Nathan Bitumazala,Paris S-G,18,,,"December 10, 2002"
85,Arnaud Kalimuendo,Paris S-G,19,178cm,73kg,"January 21, 2002"
86,El Chadaille Bitshiabu,Paris S-G,16,195cm,96kg,"May 16, 2005"
87,Ismaël Gharbi,Paris S-G,17,173cm,61kg,"April 10, 2004"
88,Layvin Kurzawa,Paris S-G,29,182cm,75kg,"September 4, 1992"
89,Edouard Michut,Paris S-G,18,178cm,68kg,"March 4, 2003"
90,Sergio Rico,Paris S-G,28,194cm,90kg,"September 1, 1993"
91,Sekou Yansané,Paris S-G,18,,,"April 28, 2003"
92,Manuel Neuer,Bayern Munich,35,193cm,92kg,"March 27, 1986"
93,Joshua Kimmich,Bayern Munich,26,176cm,70kg,"February 8, 1995"
94,Robert Lewandowski,Bayern Munich,33,185cm,79kg,"August 21, 1988"
95,Thomas Müller,Bayern Munich,32,186cm,75kg,"September 13, 1989"
96,Alphonso Davies,Bayern Munich,21,178cm,69kg,"November 2, 2000"
97,Niklas Süle,Bayern Munich,26,195cm,93kg,"September 3, 1995"
98,Dayot Upamecano,Bayern Munich,23,188cm,79kg,"October 27, 1998"
99,Leroy Sané,Bayern Munich,25,184cm,74kg,"January 11, 1996"
100,Leon Goretzka,Bayern Munich,26,189cm,79kg,"February 6, 1995"
101,Lucas Hernández,Bayern Munich,25,183cm,76kg,"February 14, 1996"
102,Serge Gnabry,Bayern Munich,26,173cm,73kg,"July 14, 1995"
103,Josip Stanišić,Bayern Munich,21,186cm,73kg,"April 2, 2000"
104,Benjamin Pavard,Bayern Munich,25,182cm,65kg,"March 28, 1996"
105,Jamal Musiala,Bayern Munich,18,177cm,71kg,"February 26, 2003"
106,Kingsley Coman,Bayern Munich,25,178cm,71kg,"June 13, 1996"
107,Marcel Sabitzer,Bayern Munich,27,176cm,70kg,"March 17, 1994"
108,Omar Richards,Bayern Munich,23,170cm,68kg,"February 15, 1998"
109,Corentin Tolisso,Bayern Munich,27,181cm,78kg,"August 3, 1994"
110,Nianzou Kouassi,Bayern Munich,19,187cm,79kg,"June 7, 2002"
111,Eric Maxim Choupo-Moting,Bayern Munich,32,191cm,87kg,"March 23, 1989"
112,Bouna Sarr,Bayern Munich,29,177cm,65kg,"January 31, 1992"
113,Chris Richards,Bayern Munich,21,188cm,81kg,"March 28, 2000"
114,Mickaël Cuisance,Bayern Munich,22,181cm,73kg,"August 16, 1999"
115,Christian Früchtl,Bayern Munich,21,193cm,85kg,"January 28, 2000"
116,Marc Roca,Bayern Munich,24,184cm,74kg,"November 26, 1996"
117,Malik Tillman,Bayern Munich,19,186cm,77kg,"May 28, 2002"
118,Sven Ulreich,Bayern Munich,33,192cm,84kg,"August 3, 1988"
119,Edouard Mendy,Chelsea,29,197cm,86kg,"March 1, 1992"
120,Antonio Rüdiger,Chelsea,28,191cm,85kg,"March 3, 1993"
121,Jorginho,Chelsea,29,180cm,65kg,"December 20, 1991"
122,Andreas Christensen,Chelsea,25,188cm,74kg,"April 10, 1996"
123,Mateo Kovačić,Chelsea,27,181cm,75kg,"May 6, 1994"
124,César Azpilicueta,Chelsea,32,178cm,76kg,"August 28, 1989"
125,Romelu Lukaku,Chelsea,28,192cm,91kg,"May 13, 1993"
126,Kai Havertz,Chelsea,22,186cm,77kg,"June 11, 1999"
127,Thiago Silva,Chelsea,37,183cm,79kg,"September 22, 1984"
128,Marcos Alonso,Chelsea,30,188cm,85kg,"December 28, 1990"
129,Reece James,Chelsea,21,172cm,64kg,"December 8, 1999"
130,Trevoh Chalobah,Chelsea,22,190cm,75kg,"July 5, 1999"
131,Mason Mount,Chelsea,22,175cm,64kg,"January 10, 1999"
132,Ben Chilwell,Chelsea,24,178cm,71kg,"December 21, 1996"
133,N'Golo Kanté,Chelsea,30,169cm,68kg,"March 29, 1991"
134,Callum Hudson-Odoi,Chelsea,21,182cm,76kg,"November 7, 2000"
135,Timo Werner,Chelsea,25,180cm,75kg,"March 6, 1996"
136,Ruben Loftus-Cheek,Chelsea,25,191cm,83kg,"January 23, 1996"
137,Hakim Ziyech,Chelsea,28,180cm,70kg,"March 19, 1993"
138,Ross Barkley,Chelsea,27,189cm,83kg,"December 5, 1993"
139,Kepa Arrizabalaga,Chelsea,27,189cm,88kg,"October 3, 1994"
140,Malang Sarr,Chelsea,22,182cm,73kg,"January 23, 1999"
141,Christian Pulisic,Chelsea,23,172cm,69kg,"September 18, 1998"
142,Saúl Ñíguez,Chelsea,26,181cm,70kg,"November 21, 1994"
143,Emerson Palmieri,Chelsea,27,176cm,63kg,"August 3, 1994"
144,Tammy Abraham,Chelsea,24,190cm,82kg,"October 2, 1997"
145,Marcus Bettinelli,Chelsea,29,193cm,82kg,"May 24, 1992"
146,Kurt Zouma,Chelsea,27,190cm,92kg,"October 27, 1994"
147,Thibaut Courtois,Real Madrid,29,199cm,91kg,"May 11, 1992"
148,Éder Militão,Real Madrid,23,186cm,79kg,"January 18, 1998"
149,David Alaba,Real Madrid,29,180cm,72kg,"June 24, 1992"
150,Karim Benzema,Real Madrid,33,183cm,79kg,"December 19, 1987"
151,Vinicius Júnior,Real Madrid,21,177cm,62kg,"July 12, 2000"
152,Casemiro,Real Madrid,29,184cm,80kg,"February 23, 1992"
153,Federico Valverde,Real Madrid,23,183cm,72kg,"July 22, 1998"
154,Nacho,Real Madrid,31,179cm,75kg,"January 18, 1990"
155,Luka Modrić,Real Madrid,36,174cm,65kg,"September 9, 1985"
156,Lucas Vázquez,Real Madrid,30,173cm,74kg,"July 1, 1991"
157,Toni Kroos,Real Madrid,31,182cm,78kg,"January 4, 1990"
158,Dani Carvajal,Real Madrid,29,173cm,70kg,"January 11, 1992"
