,Name,Age,Height,Weight,DateofBirth
0,Giovanni Di Lorenzo,28,184cm,80kg,"August 4, 1993"
1,Mário Rui,30,170cm,67kg,"May 27, 1991"
2,Kalidou Koulibaly,30,195cm,89kg,"June 20, 1991"
3,Fabián Ruiz Peña,25,189cm,70kg,"April 3, 1996"
4,Lorenzo Insigne,30,163cm,59kg,"June 4, 1991"
5,David Ospina,33,183cm,76kg,"August 31, 1988"
6,Andre-Frank Zambo Anguissa,25,184cm,79kg,"November 16, 1995"
7,Victor Osimhen,22,185cm,76kg,"December 29, 1998"
8,Amir Rrahmani,27,190cm,75kg,"February 24, 1994"
9,Matteo Politano,28,170cm,65kg,"August 3, 1993"
10,Piotr Zieliński,27,180cm,75kg,"May 20, 1994"
11,Hirving Lozano,26,177cm,70kg,"July 30, 1995"
12,Elif Elmas,22,182cm,68kg,"September 24, 1999"
13,Kostas Manolas,30,186cm,83kg,"June 14, 1991"
14,Stanislav Lobotka,26,170cm,72kg,"November 25, 1994"
15,Alex Meret,24,185cm,77kg,"March 22, 1997"
16,Dries Mertens,34,169cm,61kg,"May 6, 1987"
17,Adam Ounas,24,172cm,65kg,"November 11, 1996"
18,Andrea Petagna,26,188cm,85kg,"June 30, 1995"
19,Diego Demme,29,170cm,66kg,"November 21, 1991"
20,Gianluca Gaetano,21,,,"May 5, 2000"
21,Juan Jesus,30,185cm,84kg,"June 10, 1991"
22,Alessandro Zanoli,21,,,"October 3, 2000"
23,Faouzi Ghoulam,30,188cm,80kg,"February 1, 1991"
24,Kévin Malcuit,30,178cm,77kg,"July 31, 1991"
25,Hubert Idasiak,19,185cm,74kg,"February 3, 2002"
26,Davide Marfella,22,,,"September 15, 1999"
27,Luca Palmiero,25,,,"May 1, 1996"
28,Fikayo Tomori,23,185cm,75kg,"December 19, 1997"
29,Rafael Leão,22,189cm,79kg,"June 10, 1999"
30,Sandro Tonali,21,181cm,78kg,"May 8, 2000"
31,Davide Calabria,24,176cm,70kg,"December 6, 1996"
32,Alexis Saelemaekers,22,180cm,72kg,"June 27, 1999"
33,Theo Hernández,24,184cm,78kg,"October 6, 1997"
34,Mike Maignan,26,187cm,80kg,"July 3, 1995"
35,Franck Kessié,24,183cm,76kg,"December 19, 1996"
36,Simon Kjær,32,190cm,86kg,"March 26, 1989"
37,Alessio Romagnoli,26,188cm,78kg,"January 12, 1995"
38,Brahim Díaz,22,170cm,70kg,"August 3, 1999"
39,Ante Rebić,28,185cm,77kg,"September 21, 1993"
40,Olivier Giroud,35,192cm,88kg,"September 30, 1986"
41,Rade Krunić,28,184cm,74kg,"October 7, 1993"
42,Ismaël Bennacer,23,175cm,70kg,"December 1, 1997"
43,Ciprian Tătărușanu,35,198cm,90kg,"February 9, 1986"
44,Fodé Ballo-Touré,24,182cm,70kg,"January 3, 1997"
45,Pierre Kalulu,21,179cm,69kg,"June 5, 2000"
46,Zlatan Ibrahimović,40,195cm,95kg,"October 3, 1981"
47,Alessandro Florenzi,30,172cm,67kg,"March 11, 1991"
48,Daniel Maldini,20,186cm,77kg,"October 11, 2001"
49,Samu Castillejo,26,179cm,61kg,"January 18, 1995"
50,Matteo Gabbia,22,185cm,81kg,"October 21, 1999"
51,Tiemoué Bakayoko,27,185cm,72kg,"August 17, 1994"
52,Pietro Pellegri,20,196cm,78kg,"March 17, 2001"
53,Junior Messias,30,174cm,67kg,"May 13, 1991"
54,Andrea Conti,27,184cm,66kg,"March 2, 1994"
55,Andreas Jungdal,19,195cm,82kg,"February 22, 2002"
56,Antonio Mirante,38,194cm,78kg,"July 8, 1983"
57,Alessandro Plizzari,21,187cm,80kg,"March 12, 2000"
58,Tommaso Pobega,22,188cm,78kg,"July 15, 1999"
59,Presnel Kimpembe,26,183cm,77kg,"August 13, 1995"
60,Kylian Mbappé,22,178cm,73kg,"December 20, 1998"
61,Achraf Hakimi,23,177cm,68kg,"November 4, 1998"
62,Marquinhos,27,183cm,75kg,"May 14, 1994"
63,Ander Herrera,32,181cm,73kg,"August 14, 1989"
64,Thilo Kehrer,25,186cm,72kg,"September 21, 1996"
65,Idrissa Gana Gueye,32,174cm,64kg,"September 26, 1989"
66,Keylor Navas,34,183cm,78kg,"December 15, 1986"
67,Abdou Diallo,25,183cm,72kg,"May 4, 1996"
68,Neymar,29,174cm,68kg,"February 5, 1992"
69,Danilo Pereira,30,188cm,66kg,"September 9, 1991"
70,Georginio Wijnaldum,30,175cm,69kg,"November 11, 1990"
71,Ángel Di María,33,180cm,70kg,"February 14, 1988"
72,Mauro Icardi,28,181cm,75kg,"February 19, 1993"
73,Gianluigi Donnarumma,22,196cm,90kg,"February 25, 1999"
74,Marco Verratti,28,165cm,60kg,"November 5, 1992"
75,Nuno Mendes,19,184cm,74kg,"June 19, 2002"
76,Lionel Messi,34,170cm,72kg,"June 24, 1987"
77,Julian Draxler,28,187cm,75kg,"September 20, 1993"
78,Rafinha,28,174cm,71kg,"February 12, 1993"
79,Leandro Paredes,27,182cm,75kg,"June 29, 1994"
80,Colin Dagba,23,170cm,62kg,"September 9, 1998"
81,Junior Dina Ebimbe,20,182cm,76kg,"November 21, 2000"
82,Juan Bernat,28,170cm,67kg,"March 1, 1993"
83,Pablo Sarabia,29,176cm,70kg,"May 11, 1992"
84,Nathan Bitumazala,18,,,"December 10, 2002"
85,Arnaud Kalimuendo,19,178cm,73kg,"January 21, 2002"
86,El Chadaille Bitshiabu,16,195cm,96kg,"May 16, 2005"
87,Ismaël Gharbi,17,173cm,61kg,"April 10, 2004"
88,Layvin Kurzawa,29,182cm,75kg,"September 4, 1992"
89,Edouard Michut,18,178cm,68kg,"March 4, 2003"
90,Sergio Rico,28,194cm,90kg,"September 1, 1993"
91,Sekou Yansané,18,,,"April 28, 2003"
92,Manuel Neuer,35,193cm,92kg,"March 27, 1986"
93,Joshua Kimmich,26,176cm,70kg,"February 8, 1995"
94,Robert Lewandowski,33,185cm,79kg,"August 21, 1988"
95,Thomas Müller,32,186cm,75kg,"September 13, 1989"
96,Alphonso Davies,21,178cm,69kg,"November 2, 2000"
97,Niklas Süle,26,195cm,93kg,"September 3, 1995"
98,Dayot Upamecano,23,188cm,79kg,"October 27, 1998"
99,Leon Goretzka,26,189cm,79kg,"February 6, 1995"
100,Serge Gnabry,26,173cm,73kg,"July 14, 1995"
101,Leroy Sané,25,184cm,74kg,"January 11, 1996"
102,Lucas Hernández,25,183cm,76kg,"February 14, 1996"
103,Josip Stanišić,21,186cm,73kg,"April 2, 2000"
104,Benjamin Pavard,25,182cm,65kg,"March 28, 1996"
105,Jamal Musiala,18,177cm,71kg,"February 26, 2003"
106,Marcel Sabitzer,27,176cm,70kg,"March 17, 1994"
107,Kingsley Coman,25,178cm,71kg,"June 13, 1996"
108,Omar Richards,23,170cm,68kg,"February 15, 1998"
109,Nianzou Kouassi,19,187cm,79kg,"June 7, 2002"
110,Corentin Tolisso,27,181cm,78kg,"August 3, 1994"
