,0,1,2,3
0,Thibaut Courtois,54000000.0,Goalkeeper,fc-chelsea
1,Willy Caballero,900000.0,Goalkeeper,fc-chelsea
2,Eduardo,900000.0,Goalkeeper,fc-chelsea
3,Matej Delac,675000.0,Goalkeeper,fc-chelsea
4,Jamal Blackman,225000.0,Goalkeeper,fc-chelsea
5,Antonio Rüdiger,36000000.0,Centre-Back,fc-chelsea
6,Andreas Christensen,36000000.0,Centre-Back,fc-chelsea
7,David Luiz,22500000.0,Centre-Back,fc-chelsea
8,Kurt Zouma,13500000.0,Centre-Back,fc-chelsea
9,Gary Cahill,13500000.0,Centre-Back,fc-chelsea
10,Tomas Kalas,4500000.0,Centre-Back,fc-chelsea
11,Ethan Ampadu,4500000.0,Centre-Back,fc-chelsea
12,Michael Hector,2700000.0,Centre-Back,fc-chelsea
13,Fikayo Tomori,900000.0,Centre-Back,fc-chelsea
14,Jake Clarke-Salter,900000.0,Centre-Back,fc-chelsea
15,Trevoh Chalobah,0.0,Centre-Back,fc-chelsea
16,Marcos Alonso,36000000.0,Left-Back,fc-chelsea
17,Emerson,18000000.0,Left-Back,fc-chelsea
18,César Azpilicueta,36000000.0,Right-Back,fc-chelsea
19,Davide Zappacosta,18000000.0,Right-Back,fc-chelsea
20,Ola Aina,1350000.0,Right-Back,fc-chelsea
21,Todd Kane,1130000.0,Right-Back,fc-chelsea
22,Wallace Oliveira,900000.0,Right-Back,fc-chelsea
23,Dujon Sterling,0.0,Right-Back,fc-chelsea
24,N'Golo Kanté,54000000.0,Defensive Midfield,fc-chelsea
25,Tiemoué Bakayoko,36000000.0,Defensive Midfield,fc-chelsea
26,Cesc Fàbregas,27000000.0,Central Midfield,fc-chelsea
27,Ross Barkley,22500000.0,Central Midfield,fc-chelsea
28,Danny Drinkwater,18000000.0,Central Midfield,fc-chelsea
29,Ruben Loftus-Cheek,13500000.0,Central Midfield,fc-chelsea
30,Marco van Ginkel,10800000.0,Central Midfield,fc-chelsea
